interval_begin;interval_end;interval_haltingDurationSum;interval_id;interval_intervalHaltingDurationSum;interval_jamLengthInMetersSum;interval_jamLengthInVehiclesSum;interval_maxHaltingDuration;interval_maxIntervalHaltingDuration;interval_maxJamLengthInMeters;interval_maxJamLengthInVehicles;interval_maxOccupancy;interval_maxVehicleNumber;interval_meanHaltingDuration;interval_meanIntervalHaltingDuration;interval_meanMaxJamLengthInMeters;interval_meanMaxJamLengthInVehicles;interval_meanOccupancy;interval_meanSpeed;interval_meanTimeLoss;interval_meanVehicleNumber;interval_nVehEntered;interval_nVehLeft;interval_nVehSeen;interval_sampledSeconds;interval_startedHalts
560.00;600.00;0.00;id_-E1_0;0.00;0.00;0;0.00;0.00;0.00;0;3.22;7;0.00;0.00;0.00;0.00;2.85;12.62;1.65;6.28;4;5;10;249.99;0.00
560.00;600.00;335.00;id_-E1_1;163.00;1107.66;161;125.00;40.00;35.01;5;3.68;8;67.00;32.60;27.69;4.03;3.05;4.84;14.47;6.62;6;4;12;265.00;2.00
560.00;600.00;302.00;id_-E1_2;19.00;126.79;19;111.00;7.00;35.00;5;2.76;6;60.40;3.80;3.17;0.47;0.83;8.22;4.23;2.00;2;7;8;76.66;0.00
560.00;600.00;0.00;id_-E2_0;0.00;0.00;0;0.00;0.00;0.00;0;2.53;5;0.00;0.00;0.00;0.00;1.99;13.07;1.49;3.98;4;4;7;158.33;0.00
560.00;600.00;90.00;id_-E2_1;67.00;395.05;66;63.00;40.00;12.52;2;2.53;5;45.00;33.50;9.88;1.65;1.47;5.16;8.10;2.90;5;4;9;116.00;1.00
560.00;600.00;17.00;id_-E2_2;17.00;80.00;16;17.00;17.00;5.00;1;1.01;2;17.00;17.00;2.00;0.40;0.57;7.33;11.27;1.12;2;1;2;45.00;1.00
560.00;600.00;0.00;id_-E3_0;0.00;0.00;0;0.00;0.00;0.00;0;1.35;4;0.00;0.00;0.00;0.00;0.89;13.02;1.08;2.65;4;2;6;106.00;0.00
560.00;600.00;0.00;id_-E3_1;0.00;0.00;0;0.00;0.00;0.00;0;1.01;3;0.00;0.00;0.00;0.00;0.38;13.30;0.71;1.12;4;6;7;45.00;0.00
560.00;600.00;155.00;id_-E3_2;6.00;37.50;6;64.00;3.00;20.00;3;1.25;4;51.67;2.00;0.94;0.15;0.55;10.02;3.01;1.77;3;6;6;69.29;0.00
600.00;640.00;0.00;id_E0_0;0.00;0.00;0;0.00;0.00;0.00;0;3.25;9;0.00;0.00;0.00;0.00;2.47;11.90;1.78;6.92;4;5;11;275.88;0.00
600.00;640.00;262.00;id_E0_1;154.00;1040.18;152;92.00;40.00;27.55;4;3.25;9;52.40;30.80;26.00;3.80;2.84;6.77;13.99;7.88;6;4;12;315.00;2.00
600.00;640.00;82.00;id_E0_2;59.00;335.02;58;63.00;40.00;12.51;2;1.08;3;41.00;29.50;8.38;1.45;0.96;4.90;16.44;2.65;2;1;4;106.00;1.00
600.00;640.00;0.00;id_-E1_0;0.00;0.00;0;0.00;0.00;0.00;0;3.68;8;0.00;0.00;0.00;0.00;2.75;12.46;1.95;6.03;4;3;9;240.62;0.00
600.00;640.00;355.00;id_-E1_1;20.00;134.45;20;126.00;7.00;35.00;5;3.68;8;71.00;4.00;3.36;0.50;1.55;9.95;3.21;3.62;4;10;12;139.96;0.00
600.00;640.00;39.00;id_-E1_2;39.00;197.53;37;33.00;33.00;12.52;2;1.38;3;19.50;19.50;4.94;0.93;0.93;5.75;12.35;2.02;3;2;4;81.00;2.00
600.00;640.00;1.00;id_-E2_0;1.00;0.00;0;1.00;1.00;0.00;0;2.53;5;1.00;1.00;0.00;0.00;1.89;12.71;1.45;3.75;4;2;7;149.88;1.00
600.00;640.00;191.00;id_-E2_1;101.00;650.07;100;103.00;40.00;20.01;3;2.53;5;63.67;33.67;16.25;2.50;2.12;4.83;13.47;4.17;3;4;8;167.00;1.00
600.00;640.00;70.00;id_-E2_2;53.00;290.21;52;57.00;40.00;12.63;2;1.52;3;35.00;26.50;7.26;1.30;1.03;3.79;19.35;2.02;2;1;3;81.00;1.00
600.00;640.00;0.00;id_-E3_0;0.00;0.00;0;0.00;0.00;0.00;0;1.68;5;0.00;0.00;0.00;0.00;1.19;13.45;0.93;3.55;3;3;7;142.00;0.00
600.00;640.00;0.00;id_-E3_1;0.00;0.00;0;0.00;0.00;0.00;0;0.67;2;0.00;0.00;0.00;0.00;0.33;13.28;0.38;0.97;4;4;5;39.00;0.00
600.00;640.00;16.00;id_-E3_2;16.00;75.00;15;16.00;16.00;5.00;1;0.67;2;16.00;16.00;1.88;0.38;0.38;7.69;11.16;1.12;2;1;2;45.00;1.00
640.00;680.00;0.00;id_E0_0;0.00;0.00;0;0.00;0.00;0.00;0;3.61;10;0.00;0.00;0.00;0.00;3.10;13.01;1.89;8.65;6;5;12;345.23;0.00
640.00;680.00;271.00;id_E0_1;10.00;65.01;10;93.00;4.00;27.50;4;2.89;8;67.75;2.50;1.63;0.25;1.02;10.69;1.81;2.98;7;10;15;116.65;0.00
640.00;680.00;216.00;id_E0_2;134.00;890.22;132;103.00;40.00;27.57;4;2.16;6;54.00;33.50;22.26;3.30;1.71;3.38;20.59;4.75;4;2;7;190.00;2.00
640.00;680.00;0.00;id_-E1_0;0.00;0.00;0;0.00;0.00;0.00;0;3.68;8;0.00;0.00;0.00;0.00;2.99;12.79;1.63;6.53;6;4;12;260.92;0.00
