current_time,waiting_time
402931.0,469.0
402971.0,408.0
403011.0,565.0
403051.0,385.0
403091.0,345.0
403131.0,296.0
403171.0,520.0
403211.0,511.0
403251.0,503.0
403291.0,405.0
403331.0,555.0
403371.0,493.0
403411.0,459.0
403451.0,436.0
403491.0,602.0
403531.0,449.0
403571.0,317.0
403611.0,294.0
403651.0,510.0
403691.0,395.0
403731.0,372.0
403771.0,341.0
403811.0,493.0
403851.0,351.0
403891.0,388.0
403931.0,333.0
403971.0,729.0
404011.0,503.0
404051.0,354.0
404091.0,317.0
404131.0,473.0
404171.0,488.0
404211.0,467.0
404251.0,276.0
404291.0,411.0
404331.0,403.0
404371.0,320.0
404411.0,207.0
404451.0,441.0
404491.0,357.0
404531.0,310.0
404571.0,328.0
404611.0,578.0
404651.0,448.0
404691.0,406.0
404731.0,371.0
404771.0,517.0
404811.0,474.0
404851.0,441.0
404891.0,319.0
404931.0,510.0
404971.0,419.0
405011.0,294.0
405051.0,326.0
405091.0,494.0
405131.0,380.0
405171.0,283.0
405211.0,357.0
405251.0,429.0
405291.0,409.0
405331.0,451.0
405371.0,331.0
405411.0,559.0
405451.0,380.0
405491.0,390.0
405531.0,351.0
405571.0,486.0
405611.0,411.0
405651.0,404.0
405691.0,296.0
405731.0,465.0
405771.0,485.0
405811.0,472.0
405851.0,271.0
405891.0,476.0
405931.0,440.0
405971.0,409.0
406011.0,325.0
406051.0,491.0
406091.0,337.0
406131.0,362.0
406171.0,314.0
406211.0,513.0
406251.0,465.0
406291.0,499.0
406331.0,424.0
406371.0,605.0
406411.0,484.0
406451.0,475.0
406491.0,317.0
406531.0,466.0
406571.0,368.0
406611.0,453.0
406651.0,367.0
406691.0,482.0
406731.0,349.0
406771.0,358.0
406811.0,307.0
406851.0,562.0
406891.0,571.0
406931.0,514.0
406971.0,448.0
407011.0,566.0
407051.0,496.0
407091.0,392.0
407131.0,265.0
407171.0,472.0
407211.0,420.0
407251.0,463.0
407291.0,392.0
407331.0,547.0
407371.0,482.0
407411.0,461.0
407451.0,392.0
407491.0,574.0
407531.0,366.0
407571.0,174.0
407611.0,223.0
407651.0,395.0
407691.0,396.0
407731.0,428.0
407771.0,243.0
407811.0,484.0
407851.0,455.0
407891.0,359.0
407931.0,248.0
407971.0,496.0
408011.0,454.0
408051.0,406.0
408091.0,318.0
408131.0,363.0
408171.0,374.0
408211.0,325.0
408251.0,284.0
408291.0,516.0
408331.0,491.0
408371.0,484.0
408411.0,331.0
408451.0,322.0
408491.0,372.0
408531.0,299.0
408571.0,241.0
408611.0,520.0
408651.0,453.0
408691.0,407.0
408731.0,360.0
408771.0,559.0
408811.0,460.0
408851.0,491.0
408891.0,299.0
408931.0,426.0
408971.0,476.0
409011.0,442.0
409051.0,225.0
409091.0,446.0
409131.0,407.0
409171.0,393.0
409211.0,312.0
409251.0,464.0
409291.0,360.0
409331.0,364.0
409371.0,353.0
409411.0,565.0
409451.0,446.0
409491.0,395.0
409531.0,348.0
409571.0,446.0
409611.0,435.0
409651.0,428.0
409691.0,301.0
409731.0,417.0
409771.0,411.0
409811.0,415.0
409851.0,296.0
409891.0,510.0
409931.0,570.0
409971.0,428.0
410011.0,211.0
410051.0,314.0
410091.0,324.0
410131.0,372.0
410171.0,248.0
410211.0,337.0
410251.0,424.0
410291.0,410.0
410331.0,243.0
410371.0,407.0
410411.0,361.0
410451.0,416.0
410491.0,407.0
410531.0,644.0
410571.0,577.0
410611.0,456.0
410651.0,383.0
410691.0,700.0
410731.0,626.0
410771.0,441.0
410811.0,209.0
410851.0,315.0
410891.0,335.0
410931.0,375.0
410971.0,363.0
411011.0,635.0
411051.0,449.0
411091.0,425.0
411131.0,203.0
411171.0,389.0
411211.0,459.0
411251.0,400.0
411291.0,388.0
411331.0,568.0
411371.0,465.0
411411.0,391.0
411451.0,270.0
411491.0,434.0
411531.0,268.0
411571.0,307.0
411611.0,238.0
411651.0,439.0
411691.0,395.0
411731.0,397.0
411771.0,278.0
411811.0,496.0
411851.0,317.0
411891.0,432.0
411931.0,398.0
411971.0,498.0
412011.0,365.0
412051.0,362.0
412091.0,303.0
412131.0,561.0
412171.0,406.0
412211.0,282.0
412251.0,330.0
412291.0,491.0
412331.0,379.0
412371.0,360.0
412411.0,220.0
412451.0,457.0
412491.0,441.0
412531.0,464.0
412571.0,253.0
412611.0,414.0
412651.0,345.0
412691.0,323.0
412731.0,248.0
412771.0,372.0
412811.0,401.0
412851.0,395.0
412891.0,205.0
412931.0,436.0
412971.0,403.0
413011.0,447.0
413051.0,454.0
413091.0,604.0
413131.0,430.0
413171.0,427.0
413211.0,234.0
413251.0,378.0
413291.0,382.0
413331.0,411.0
413371.0,326.0
413411.0,420.0
413451.0,381.0
413491.0,405.0
413531.0,205.0
413571.0,430.0
413611.0,317.0
413651.0,371.0
413691.0,338.0
413731.0,472.0
413771.0,439.0
413811.0,418.0
413851.0,206.0
413891.0,367.0
413931.0,359.0
413971.0,472.0
414011.0,421.0
414051.0,514.0
414091.0,294.0
414131.0,346.0
414171.0,319.0
414211.0,603.0
414251.0,535.0
414291.0,388.0
414331.0,449.0
414371.0,598.0
414411.0,493.0
414451.0,335.0
414491.0,224.0
414531.0,330.0
414571.0,379.0
414611.0,415.0
414651.0,289.0
414691.0,501.0
414731.0,378.0
414771.0,404.0
414811.0,272.0
414851.0,422.0
414891.0,365.0
414931.0,411.0
414971.0,247.0
415011.0,437.0
415051.0,464.0
415091.0,485.0
415131.0,341.0
415171.0,511.0
415211.0,464.0
415251.0,373.0
415291.0,303.0
415331.0,535.0
415371.0,411.0
415411.0,360.0
415451.0,315.0
415491.0,506.0
415531.0,421.0
415571.0,474.0
415611.0,346.0
415651.0,597.0
415691.0,442.0
415731.0,435.0
415771.0,268.0
415811.0,400.0
415851.0,403.0
415891.0,364.0
415931.0,304.0
415971.0,682.0
416011.0,654.0
416051.0,490.0
416091.0,420.0
416131.0,497.0
416171.0,524.0
416211.0,351.0
416251.0,324.0
416291.0,454.0
416331.0,435.0
416371.0,422.0
416411.0,316.0
416451.0,437.0
416491.0,366.0
416531.0,364.0
416571.0,198.0
416611.0,422.0
416651.0,446.0
416691.0,479.0
416731.0,414.0
416771.0,574.0
416811.0,415.0
416851.0,302.0
416891.0,219.0
416931.0,456.0
416971.0,381.0
417011.0,366.0
417051.0,257.0
417091.0,353.0
417131.0,362.0
417171.0,346.0
417211.0,349.0
417251.0,451.0
417291.0,332.0
417331.0,328.0
417371.0,368.0
417411.0,634.0
417451.0,524.0
417491.0,351.0
417531.0,392.0
417571.0,502.0
417611.0,431.0
417651.0,430.0
417691.0,321.0
417731.0,548.0
417771.0,514.0
417811.0,472.0
417851.0,393.0
417891.0,536.0
417931.0,498.0
417971.0,411.0
418011.0,307.0
418051.0,518.0
418091.0,485.0
418131.0,369.0
418171.0,294.0
418211.0,517.0
418251.0,470.0
418291.0,457.0
418331.0,361.0
418371.0,583.0
418411.0,462.0
418451.0,438.0
418491.0,257.0
418531.0,498.0
418571.0,496.0
418611.0,387.0
418651.0,294.0
