interval_begin;interval_end;interval_haltingDurationSum;interval_id;interval_intervalHaltingDurationSum;interval_jamLengthInMetersSum;interval_jamLengthInVehiclesSum;interval_maxHaltingDuration;interval_maxIntervalHaltingDuration;interval_maxJamLengthInMeters;interval_maxJamLengthInVehicles;interval_maxOccupancy;interval_maxVehicleNumber;interval_meanHaltingDuration;interval_meanIntervalHaltingDuration;interval_meanMaxJamLengthInMeters;interval_meanMaxJamLengthInVehicles;interval_meanOccupancy;interval_meanSpeed;interval_meanTimeLoss;interval_meanVehicleNumber;interval_nVehEntered;interval_nVehLeft;interval_nVehSeen;interval_sampledSeconds;interval_startedHalts
920.00;960.00;0.00;id_-E2_2;0.00;0.00;0;0.00;0.00;0.00;0;0.00;0;0.00;0.00;0.00;0.00;0.00;-1.00;-1.00;0.00;0;0;0;0.00;0.00
920.00;960.00;0.00;id_-E3_0;0.00;0.00;0;0.00;0.00;0.00;0;1.35;4;0.00;0.00;0.00;0.00;0.98;13.51;0.84;2.95;3;4;7;117.88;0.00
920.00;960.00;0.00;id_-E3_1;0.00;0.00;0;0.00;0.00;0.00;0;0.67;2;0.00;0.00;0.00;0.00;0.42;14.09;0.49;1.25;5;5;5;50.00;0.00
920.00;960.00;496.00;id_-E3_2;24.00;164.22;24;166.00;7.00;42.51;6;2.02;6;82.67;4.00;4.11;0.60;0.72;7.27;4.89;2.30;3;7;9;90.35;0.00
960.00;1000.00;0.00;id_E0_0;0.00;0.00;0;0.00;0.00;0.00;0;2.89;8;0.00;0.00;0.00;0.00;2.52;12.57;1.74;7.00;4;3;10;279.88;0.00
960.00;1000.00;0.00;id_E0_1;0.00;0.00;0;0.00;0.00;0.00;0;0.72;2;0.00;0.00;0.00;0.00;0.18;12.75;0.23;0.50;3;4;5;20.00;0.00
960.00;1000.00;303.00;id_E0_2;168.00;1145.54;166;117.00;40.00;35.27;5;2.16;6;60.60;33.60;28.64;4.15;1.84;2.25;28.98;5.10;2;1;6;204.00;2.00
960.00;1000.00;0.00;id_-E1_0;0.00;0.00;0;0.00;0.00;0.00;0;2.76;6;0.00;0.00;0.00;0.00;2.35;12.92;1.88;5.15;2;2;7;205.46;0.00
960.00;1000.00;160.00;id_-E1_1;107.00;687.59;105;84.00;40.00;27.51;4;2.30;5;40.00;26.75;17.19;2.62;1.77;3.71;22.89;3.85;2;1;5;154.00;2.00
960.00;1000.00;0.00;id_-E1_2;0.00;0.00;0;0.00;0.00;0.00;0;0.00;0;0.00;0.00;0.00;0.00;0.00;-1.00;-1.00;0.00;0;0;0;0.00;0.00
960.00;1000.00;0.00;id_-E2_0;0.00;0.00;0;0.00;0.00;0.00;0;2.03;4;0.00;0.00;0.00;0.00;1.51;13.09;1.59;3.00;2;2;5;119.60;0.00
